,exC14818,exC00014,exC00009,exC00059,exVA,exSA,expHBA,C00282,exC00001,exC00007,C00067,C00058,C00033,C00010,C00162,C00132,C00054,C00011,C05198,C04425,C00266,C00153,Time,Biomass
21,45.53999943460659,9.902257188230065,26.0817508148107,7.9979659191595225,0.9448937884370091,1.0,0.9609171247368661,10.0,99.77721431841711,9.86340706472433,0.0,0.0,0.0,1.0000224932347583,1.0,5.653934166249381e-07,0.002034080840477291,0.3445570330896278,1.6961802498847958e-06,5.653934166249381e-07,0.00046889960684753923,5.653934166249381e-07,315.0,0.010423223610415634
22,45.539999360754656,9.889489978783788,26.07936709814338,7.997700226617521,0.9371946118724783,1.0,0.9564377708935868,10.0,99.74739563453699,9.846358499678546,0.0,0.0,0.0,1.000025431311064,1.0,6.392453556024004e-07,0.002299773382478263,0.3891929750358373,1.9177360668056677e-06,6.392453556024004e-07,0.0005301474815652834,6.392453556024004e-07,330.0,0.011654089260040005
23,45.53999927818163,9.875215105460931,26.076701891340964,7.997403158773863,0.9285291613941361,1.0,0.9515003364723484,10.0,99.71396987620919,9.82738692007107,0.0,0.0,0.0,1.0000287163411439,1.0,7.218183781430689e-07,0.002596841226136566,0.4390604564845367,2.165455134434458e-06,7.218183781430689e-07,0.0005986280415862964,7.218183781430689e-07,345.0,0.01303030630238448
24,45.53999918585767,9.859254530154566,26.073721953592287,7.997071010559145,0.9187675732794268,1.0,0.9460534134912327,10.0,99.6763129857974,9.806284518899908,0.0,0.0,0.0,1.0000323892963283,1.0,8.141423459065828e-07,0.002928989440855015,0.49488452142722306,2.4424270377324034e-06,8.141423459065828e-07,0.0006751953855115995,8.141423459065828e-07,360.0,0.014569039098443044
25,45.539999082631276,9.841409190480984,26.070390118723616,7.996699639377345,0.9077600435576729,1.0,0.9400978700024392,10.0,99.63426412541085,9.782843770710254,0.0,0.0,0.0,1.0000364959861947,1.0,9.173687355061666e-07,0.0033003606226542337,0.5571042447176379,2.7521062065381253e-06,9.173687355061666e-07,0.0007608044712776928,9.173687355061666e-07,375.0,0.016289478925102775
26,45.53999896721501,9.821456517042758,26.0666648316558,7.99628441343873,0.8953330088847152,1.0,0.9335875896448844,10.0,99.58706990702797,9.756824028753966,0.0,0.0,0.0,1.0000410876299133,1.0,1.0327849999105767e-06,0.0037155865612702333,0.6265887131808435,3.0983549997513553e-06,1.0327849999105767e-06,0.0008565230265590135,1.0327849999105767e-06,390.0,0.018213083331842943
27,45.53999883816939,9.79914765752519,26.062499630130013,7.995820153991964,0.8812843527618087,1.0,0.9264762939801097,10.0,99.53382708676249,9.727967390079916,0.0,0.0,0.0,1.0000462214950563,1.0,1.161830625627165e-06,0.004179846008035974,0.7043371151134888,3.4854918769011203e-06,1.161830625627165e-06,0.000963544865470546,1.161830625627165e-06,405.0,0.02036384376045275
28,45.539998693884925,9.774204372990102,26.057842565221435,7.995301070733998,0.8653773046938854,1.0,0.9187991945926097,10.0,99.4742696885381,9.69602706537279,0.0,0.0,0.0,1.0000519616118444,1.0,1.3061150861420889e-06,0.004698929266002725,0.7909442374257227,3.918345258466979e-06,1.3061150861420889e-06,0.0010832047780788023,1.3061150861420889e-06,420.0,0.022768584769034813
29,45.539998532562095,9.746315567655612,26.052635553431173,7.994720689593244,0.8473325536639444,1.0,0.9105374161056186,10.0,99.40728947299998,9.660724718050078,0.0,0.0,0.0,1.0000583795717353,1.0,1.4674379154052148e-06,0.005279310406757018,0.8875994649333906,4.402313746235072e-06,1.4674379154052148e-06,0.0012169951778035783,1.4674379154052148e-06,435.0,0.02545729859008691
30,45.53999835218886,9.715133408876317,26.046813652261307,7.994071771983947,0.8268178706462402,1.0,0.9016880073651609,10.0,99.33154918462355,9.621778451189398,0.0,0.0,0.0,1.000065555420322,1.0,1.6478111517687421e-06,0.005928228016053926,0.995665039411681,4.943433455340343e-06,1.6478111517687421e-06,0.0013665847151631478,1.6478111517687421e-06,450.0,0.028463519196145697
31,45.53999815051558,9.680268988961448,26.040304250249733,7.99334622452651,0.8113809785034309,1.0,0.8825179463183388,10.0,99.25852149713248,9.566390789910374,0.0,0.0,0.0,1.0000735786556634,1.0,1.8494844322563972e-06,0.006653775473490449,1.1214186500141272,5.548453296744962e-06,1.8494844322563972e-06,0.0015338390891040754,1.8494844322563972e-06,465.0,0.031824740537606616
32,45.53999792502696,9.641287474681171,26.033026161353106,7.992534998105862,0.7848475543869191,1.0,0.8725571064203863,10.0,99.16250254993831,9.519106011662695,0.0,0.0,0.0,1.0000825493445173,1.0,2.0749730502661177e-06,0.007465001894138272,1.2559002941383126,6.2249191507741234e-06,2.0749730502661177e-06,0.0017208443162919206,2.0749730502661177e-06,480.0,0.035582884171101954
33,45.53999767291069,9.59770268400584,26.024888612390644,7.991627975010793,0.7544041601393585,1.0,0.8624304208769685,10.0,99.05445351928104,9.467480358991779,0.0,0.0,0.0,1.0000925793703657,1.0,2.327089326311121e-06,0.008372024989207017,1.405403162255366,6.98126797890888e-06,2.327089326311121e-06,0.0019299327478703324,2.327089326311121e-06,495.0,0.039784822105185344
34,45.53999739102233,9.548971022419646,26.0157901109181,7.990613842745084,0.7193129526967136,1.0,0.8523635118946216,10.0,98.93152986999219,9.411405099771452,0.0,0.0,0.0,1.0001037938288442,1.0,2.608977683573258e-06,0.009386157254915848,1.5721936039784004,7.826933050695291e-06,2.608977683573258e-06,0.0021637121588169747,2.608977683573258e-06,510.0,0.044482961392887634
35,45.53999707584615,9.494484703180689,26.00561717940575,7.989479952937614,0.678629719811076,1.0,0.8429634754681179,10.0,98.79250865671106,9.351016050202063,0.0,0.0,0.0,1.0001163325879352,1.0,2.924153865125736e-06,0.010520047062385848,1.7572756933354412,8.772461595352726e-06,2.924153865125736e-06,0.0024250982720752283,2.924153865125736e-06,525.0,0.0497358977520956
36,45.53999672345123,9.433564167022372,25.994242939950162,7.988212163591866,0.6311132235725,1.0,0.8349726723074855,10.0,98.63402025273577,9.28670270210863,0.0,0.0,0.0,1.0001303520323976,1.0,3.276548782534707e-06,0.011787836408133762,1.9628112591214757,9.829646347579639e-06,3.276548782534707e-06,0.0027173511235863987,3.276548782534707e-06,540.0,0.05560914637557845
37,45.539996329442474,9.36544960664836,25.981525531846923,7.986794662706542,0.5750745617583781,1.0,0.8296525827605854,10.0,98.45243988808869,9.219395630276503,0.0,0.0,0.0,1.000146027014213,1.0,3.670557541993646e-06,0.013205337293458023,2.1906059371322435,1.1011672626039636e-05,3.670557541993646e-06,0.0030441157214381215,3.670557541993646e-06,555.0,0.06217595903322744
38,45.53999588890576,9.2892914904044,25.967306342303512,7.985209771068082,0.5081097443465709,1.0,0.8289733484394097,10.0,98.24210730912927,9.15092345413505,0.0,0.0,0.0,1.0001635530333268,1.0,4.111094260403604e-06,0.014790228931918274,2.4428859069827418,1.233328278127232e-05,4.111094260403604e-06,0.0034094675065397873,4.111094260403604e-06,570.0,0.06951823767339341
39,45.53999539634666,9.204139966996086,25.95140802823132,7.983437721756662,0.47333955876749867,1.0,0.7785123651248711,10.0,98.06815555559794,9.011012162415847,0.0,0.0,0.0,1.0001831486759238,1.0,4.6036533537248215e-06,0.016562278243337895,2.7520487255068367,1.381096006133273e-05,4.6036533537248215e-06,0.003817963181288803,4.6036533537248215e-06,585.0,0.0777275558954137
40,45.539994845621955,9.108933018935822,25.93363230442052,7.981456413613198,0.38894146664171697,1.0,0.7785123651248711,10.0,97.80418600885511,8.926494492614232,0.0,0.0,0.0,1.0002050583406328,1.0,5.154378063556426e-06,0.018543586386801782,3.066956747405007,1.5463134190701263e-05,5.154378063556426e-06,0.004274697540656033,5.154378063556426e-06,600.0,0.08690630105927379
